resume_text,category
"MATLAB, manufacturing, GD&T, mechanical design focused on prototype assembly with experience in tolerance stack-up, presentation skills, process optimization. Additional keywords: FMEA mechanical design.",Mechanical Engineering
"Worked on clinical study using MATLAB, medical imaging, PCR, healthcare analytics and delivered results through data interpretation, equipment testing, lab protocol. Additional keywords: clinical research biostatistics.",Biomedical
"Built and improved content calendar by applying Google Analytics, CRM, lead generation, content strategy and market research, cross-functional collaboration, A/B testing. Additional keywords: social media campaign planning.",Marketing
"Built and improved infrastructure planning by applying construction management, STAAD Pro, site execution, structural analysis and technical writing, BOQ preparation, project scheduling. Additional keywords: AutoCAD Revit.",Civil Engineering
"signal processing, clinical research, biostatistics, PCR focused on imaging workflow with experience in lab protocol, equipment testing, regulatory documentation. Additional keywords: MATLAB bioinformatics.",Biomedical
"Built and improved vision system by applying deep learning, Python, machine learning, model tuning and hyperparameter optimization, feature selection, problem solving. Additional keywords: model tuning PyTorch.",AI/ML
"Built and improved structural estimation by applying site execution, STAAD Pro, surveying, AutoCAD and vendor coordination, quality control, safety compliance. Additional keywords: AutoCAD site execution.",Civil Engineering
"Built and improved building project by applying site execution, surveying, construction management, AutoCAD and safety compliance, vendor coordination, documentation. Additional keywords: construction management RCC design.",Civil Engineering
"AutoCAD, MATLAB, mechanical design, FMEA focused on machine component with experience in technical drawing, finite element analysis, cross-functional collaboration. Additional keywords: MATLAB AutoCAD.",Mechanical Engineering
"Professional background includes Google Analytics, lead generation, campaign planning, CRM, customer funnel, and strong emphasis on technical writing, performance reporting, market research. Additional keywords: social media campaign planning.",Marketing
"Built and improved site supervision by applying site execution, RCC design, STAAD Pro, structural analysis and quality control, project scheduling, business analysis. Additional keywords: site execution AutoCAD.",Civil Engineering
"Hands-on experience with Pandas, statistics, Python, data visualization in analytics dashboard, including business analysis, process improvement, data wrangling. Additional keywords: SQL data visualization.",Data Science
"Worked on recommendation engine using computer vision, Python, TensorFlow, NLP and delivered results through training pipeline, feature selection, business analysis. Additional keywords: model tuning Python.",AI/ML
"Built and improved forecasting system by applying SQL, data visualization, Pandas, scikit-learn and exploratory analysis, feature engineering, problem solving. Additional keywords: Pandas data visualization.",Data Science
"Worked on data cleaning workflow using data visualization, Python, NumPy, scikit-learn and delivered results through data wrangling, business analysis, exploratory analysis. Additional keywords: model evaluation SQL.",Data Science
"Hands-on experience with NLP, TensorFlow, deep learning, computer vision in neural network, including MLOps, technical writing, data preprocessing. Additional keywords: Python model tuning.",AI/ML
"lead generation, social media, Google Analytics, content strategy focused on digital campaign with experience in conversion optimization, audience segmentation, performance reporting. Additional keywords: brand management CRM.",Marketing
"Worked on bridge design using surveying, STAAD Pro, Revit, structural analysis and delivered results through vendor coordination, stakeholder communication, project scheduling. Additional keywords: surveying STAAD Pro.",Civil Engineering
"Hands-on experience with valuation, taxation, financial modeling, budgeting in portfolio model, including variance analysis, KPI tracking, compliance review. Additional keywords: forecasting taxation.",Finance
"Built and improved financial report by applying financial modeling, budgeting, forecasting, taxation and KPI tracking, cost optimization, compliance review. Additional keywords: accounting forecasting.",Finance
"Worked on neural network using NLP, model tuning, Python, TensorFlow and delivered results through training pipeline, MLOps, feature selection. Additional keywords: deep learning computer vision.",AI/ML
"Hands-on experience with Git, Java, SQL, React in API layer, including problem solving, CI/CD, business analysis. Additional keywords: React JavaScript.",Software Engineering
"Worked on financial report using Excel, accounting, financial modeling, taxation and delivered results through cash flow planning, variance analysis, KPI tracking. Additional keywords: financial modeling budgeting.",Finance
"Worked on web application using JavaScript, REST APIs, Docker, React and delivered results through CI/CD, code review, unit testing. Additional keywords: JavaScript Flask.",Software Engineering
"Hands-on experience with mechanical design, CAD, GD&T, AutoCAD in manufacturing line, including process optimization, technical drawing, quality inspection. Additional keywords: SolidWorks FMEA.",Mechanical Engineering
"bioinformatics, clinical research, healthcare analytics, medical imaging focused on device validation with experience in lab protocol, presentation skills, equipment testing. Additional keywords: bioinformatics healthcare analytics.",Biomedical
"deep learning, PyTorch, model tuning, machine learning focused on recommendation engine with experience in MLOps, training pipeline, process improvement. Additional keywords: PyTorch TensorFlow.",AI/ML
"forecasting, Excel, budgeting, accounting focused on investment analysis with experience in cost optimization, technical writing, cash flow planning. Additional keywords: budgeting valuation.",Finance
"Professional background includes site execution, RCC design, AutoCAD, Revit, bridge design, and strong emphasis on BOQ preparation, vendor coordination, project scheduling. Additional keywords: STAAD Pro structural analysis.",Civil Engineering
"Built and improved diagnostic system by applying bioinformatics, medical imaging, MATLAB, biostatistics and research methodology, lab protocol, equipment testing. Additional keywords: biostatistics PCR.",Biomedical
"Worked on diagnostic system using PCR, MATLAB, healthcare analytics, medical imaging and delivered results through data interpretation, technical writing, equipment testing. Additional keywords: bioinformatics medical imaging.",Biomedical
"Built and improved product design by applying mechanical design, AutoCAD, SolidWorks, GD&T and tolerance stack-up, process optimization, quality inspection. Additional keywords: GD&T AutoCAD.",Mechanical Engineering
"Hands-on experience with social media, Google Analytics, lead generation, brand management in content calendar, including audience segmentation, market research, A/B testing. Additional keywords: SEO social media.",Marketing
"Built and improved budget dashboard by applying taxation, forecasting, valuation, budgeting and cash flow planning, process improvement, KPI tracking. Additional keywords: taxation accounting.",Finance
"Built and improved building project by applying RCC design, STAAD Pro, site execution, construction management and project scheduling, documentation, vendor coordination. Additional keywords: structural analysis RCC design.",Civil Engineering
"brand management, content strategy, SEO, social media focused on growth strategy with experience in presentation skills, performance reporting, market research. Additional keywords: brand management Google Analytics.",Marketing
"Worked on classification model using NLP, computer vision, model tuning, Python and delivered results through documentation, MLOps, training pipeline. Additional keywords: deep learning Python.",AI/ML
"Google Analytics, content strategy, lead generation, campaign planning focused on digital campaign with experience in technical writing, A/B testing, performance reporting. Additional keywords: Google Analytics brand management.",Marketing
"Hands-on experience with machine learning, NLP, computer vision, Python in LLM assistant, including feature selection, MLOps, cross-functional collaboration. Additional keywords: Python machine learning.",AI/ML
"Built and improved recommendation engine by applying deep learning, TensorFlow, Python, machine learning and process improvement, feature selection, training pipeline. Additional keywords: TensorFlow machine learning.",AI/ML
"Worked on bridge design using RCC design, surveying, construction management, site execution and delivered results through stakeholder communication, safety compliance, BOQ preparation. Additional keywords: STAAD Pro construction management.",Civil Engineering
"campaign planning, content strategy, CRM, lead generation focused on brand launch with experience in A/B testing, performance reporting, stakeholder communication. Additional keywords: CRM campaign planning.",Marketing
"Professional background includes campaign planning, Google Analytics, brand management, social media, content calendar, and strong emphasis on performance reporting, audience segmentation, conversion optimization. Additional keywords: CRM brand management.",Marketing
"Professional background includes financial modeling, budgeting, risk analysis, taxation, investment analysis, and strong emphasis on cash flow planning, compliance review, cost optimization. Additional keywords: Excel risk analysis.",Finance
"Professional background includes construction management, site execution, STAAD Pro, surveying, structural estimation, and strong emphasis on vendor coordination, safety compliance, BOQ preparation. Additional keywords: construction management structural analysis.",Civil Engineering
"Professional background includes taxation, risk analysis, accounting, financial modeling, portfolio model, and strong emphasis on cash flow planning, variance analysis, cost optimization. Additional keywords: financial modeling forecasting.",Finance
"Hands-on experience with MATLAB, GD&T, SolidWorks, manufacturing in product design, including process optimization, presentation skills, technical drawing. Additional keywords: SolidWorks MATLAB.",Mechanical Engineering
"Built and improved budget dashboard by applying Excel, valuation, budgeting, risk analysis and cash flow planning, KPI tracking, compliance review. Additional keywords: valuation accounting.",Finance
"content strategy, lead generation, Google Analytics, CRM focused on content calendar with experience in stakeholder communication, audience segmentation, A/B testing. Additional keywords: lead generation Google Analytics.",Marketing
"AutoCAD, MATLAB, FMEA, manufacturing focused on machine component with experience in quality inspection, technical drawing, finite element analysis. Additional keywords: MATLAB FMEA.",Mechanical Engineering
"forecasting, valuation, budgeting, taxation focused on budget dashboard with experience in cost optimization, KPI tracking, problem solving. Additional keywords: forecasting risk analysis.",Finance
"Built and improved clinical study by applying healthcare analytics, clinical research, biostatistics, bioinformatics and regulatory documentation, problem solving, equipment testing. Additional keywords: PCR healthcare analytics.",Biomedical
"FMEA, SolidWorks, GD&T, mechanical design focused on manufacturing line with experience in quality inspection, cross-functional collaboration, documentation. Additional keywords: GD&T MATLAB.",Mechanical Engineering
"Professional background includes Google Analytics, campaign planning, lead generation, social media, brand launch, and strong emphasis on conversion optimization, market research, A/B testing. Additional keywords: Google Analytics social media.",Marketing
"Built and improved diagnostic system by applying MATLAB, clinical research, medical imaging, signal processing and cross-functional collaboration, lab protocol, regulatory documentation. Additional keywords: biostatistics bioinformatics.",Biomedical
"Built and improved structural estimation by applying construction management, RCC design, AutoCAD, site execution and BOQ preparation, vendor coordination, cross-functional collaboration. Additional keywords: RCC design site execution.",Civil Engineering
"Professional background includes bioinformatics, signal processing, MATLAB, biostatistics, imaging workflow, and strong emphasis on process improvement, regulatory documentation, lab protocol. Additional keywords: bioinformatics signal processing.",Biomedical
"statistics, NumPy, Python, SQL focused on classification model with experience in exploratory analysis, A/B testing, feature engineering. Additional keywords: model evaluation Python.",Data Science
"Built and improved digital campaign by applying content strategy, brand management, social media, Google Analytics and performance reporting, audience segmentation, presentation skills. Additional keywords: campaign planning brand management.",Marketing
"Built and improved full-stack portal by applying Git, Java, Flask, JavaScript and code review, process improvement, agile delivery. Additional keywords: Java Django.",Software Engineering
"Professional background includes Pandas, scikit-learn, Python, SQL, data cleaning workflow, and strong emphasis on data wrangling, A/B testing, exploratory analysis. Additional keywords: Python statistics.",Data Science
"manufacturing, MATLAB, CAD, FMEA focused on thermal system with experience in process optimization, technical drawing, tolerance stack-up. Additional keywords: manufacturing SolidWorks.",Mechanical Engineering
"Worked on web application using Docker, Flask, JavaScript, React and delivered results through agile delivery, documentation, CI/CD. Additional keywords: SQL React.",Software Engineering
"Worked on data cleaning workflow using statistics, model evaluation, Python, NumPy and delivered results through business analysis, feature engineering, problem solving. Additional keywords: model evaluation SQL.",Data Science
"Built and improved bridge design by applying structural analysis, Revit, surveying, RCC design and process improvement, vendor coordination, safety compliance. Additional keywords: site execution Revit.",Civil Engineering
"JavaScript, Django, SQL, Flask focused on API layer with experience in unit testing, CI/CD, agile delivery. Additional keywords: Django Flask.",Software Engineering
"model tuning, deep learning, TensorFlow, NLP focused on neural network with experience in feature selection, MLOps, training pipeline. Additional keywords: deep learning machine learning.",AI/ML
"Hands-on experience with surveying, site execution, STAAD Pro, RCC design in site supervision, including safety compliance, BOQ preparation, presentation skills. Additional keywords: AutoCAD Revit.",Civil Engineering
"Hands-on experience with social media, lead generation, SEO, Google Analytics in digital campaign, including market research, conversion optimization, performance reporting. Additional keywords: CRM Google Analytics.",Marketing
"Professional background includes MATLAB, manufacturing, AutoCAD, mechanical design, prototype assembly, and strong emphasis on finite element analysis, quality inspection, problem solving. Additional keywords: AutoCAD SolidWorks.",Mechanical Engineering
"Built and improved structural estimation by applying RCC design, STAAD Pro, structural analysis, Revit and quality control, vendor coordination, business analysis. Additional keywords: structural analysis AutoCAD.",Civil Engineering
"data visualization, model evaluation, Pandas, Python focused on analytics dashboard with experience in business analysis, dashboard reporting, feature engineering. Additional keywords: model evaluation SQL.",Data Science
"biostatistics, MATLAB, PCR, medical imaging focused on device validation with experience in business analysis, data interpretation, equipment testing. Additional keywords: bioinformatics healthcare analytics.",Biomedical
"Built and improved backend service by applying React, JavaScript, REST APIs, Python and code review, cloud deployment, CI/CD. Additional keywords: Django REST APIs.",Software Engineering
"Professional background includes medical imaging, MATLAB, biostatistics, clinical research, diagnostic system, and strong emphasis on regulatory documentation, data interpretation, stakeholder communication. Additional keywords: signal processing PCR.",Biomedical
"deep learning, model tuning, TensorFlow, Python focused on neural network with experience in documentation, feature selection, MLOps. Additional keywords: Python deep learning.",AI/ML
"Professional background includes PyTorch, Python, TensorFlow, deep learning, vision system, and strong emphasis on data preprocessing, hyperparameter optimization, training pipeline. Additional keywords: Python NLP.",AI/ML
"Professional background includes GD&T, SolidWorks, manufacturing, MATLAB, machine component, and strong emphasis on tolerance stack-up, business analysis, process optimization. Additional keywords: SolidWorks FMEA.",Mechanical Engineering
"Worked on product design using SolidWorks, GD&T, CAD, AutoCAD and delivered results through problem solving, finite element analysis, process optimization. Additional keywords: manufacturing FMEA.",Mechanical Engineering
"Professional background includes mechanical design, manufacturing, AutoCAD, MATLAB, thermal system, and strong emphasis on quality inspection, presentation skills, tolerance stack-up. Additional keywords: GD&T MATLAB.",Mechanical Engineering
"Built and improved recommendation engine by applying NLP, machine learning, Python, PyTorch and MLOps, cross-functional collaboration, presentation skills. Additional keywords: TensorFlow computer vision.",AI/ML
"Worked on prediction pipeline using scikit-learn, Pandas, model evaluation, NumPy and delivered results through process improvement, problem solving, data wrangling. Additional keywords: Python Pandas.",Data Science
"RCC design, construction management, surveying, structural analysis focused on infrastructure planning with experience in process improvement, quality control, vendor coordination. Additional keywords: surveying STAAD Pro.",Civil Engineering
"Hands-on experience with React, Java, Flask, JavaScript in microservices platform, including code review, cloud deployment, unit testing. Additional keywords: Git SQL.",Software Engineering
"SQL, data visualization, model evaluation, scikit-learn focused on analytics dashboard with experience in data wrangling, dashboard reporting, feature engineering. Additional keywords: Python data visualization.",Data Science
"Worked on patient data analysis using clinical research, PCR, healthcare analytics, bioinformatics and delivered results through data interpretation, lab protocol, research methodology. Additional keywords: healthcare analytics PCR.",Biomedical
"Professional background includes PCR, biostatistics, bioinformatics, signal processing, diagnostic system, and strong emphasis on cross-functional collaboration, research methodology, business analysis. Additional keywords: MATLAB clinical research.",Biomedical
"valuation, taxation, risk analysis, budgeting focused on portfolio model with experience in cost optimization, problem solving, technical writing. Additional keywords: budgeting Excel.",Finance
"Hands-on experience with manufacturing, CAD, SolidWorks, mechanical design in manufacturing line, including technical drawing, process optimization, stakeholder communication. Additional keywords: MATLAB FMEA.",Mechanical Engineering
"Professional background includes model evaluation, Python, NumPy, scikit-learn, data cleaning workflow, and strong emphasis on A/B testing, exploratory analysis, data wrangling. Additional keywords: statistics data visualization.",Data Science
"Worked on patient data analysis using healthcare analytics, PCR, bioinformatics, medical imaging and delivered results through stakeholder communication, regulatory documentation, lab protocol. Additional keywords: MATLAB biostatistics.",Biomedical
"Professional background includes brand management, Google Analytics, social media, CRM, content calendar, and strong emphasis on A/B testing, conversion optimization, market research. Additional keywords: lead generation Google Analytics.",Marketing
"Worked on forecasting system using model evaluation, Pandas, NumPy, data visualization and delivered results through exploratory analysis, presentation skills, stakeholder communication. Additional keywords: Python Pandas.",Data Science
"Hands-on experience with construction management, AutoCAD, structural analysis, RCC design in site supervision, including cross-functional collaboration, project scheduling, quality control. Additional keywords: construction management AutoCAD.",Civil Engineering
"Hands-on experience with MATLAB, PCR, biostatistics, bioinformatics in diagnostic system, including data interpretation, regulatory documentation, business analysis. Additional keywords: medical imaging biostatistics.",Biomedical
"Professional background includes JavaScript, Python, React, Docker, API layer, and strong emphasis on CI/CD, agile delivery, cloud deployment. Additional keywords: Git Docker.",Software Engineering
"valuation, accounting, risk analysis, forecasting focused on budget dashboard with experience in cost optimization, variance analysis, compliance review. Additional keywords: financial modeling accounting.",Finance
"Professional background includes STAAD Pro, Revit, RCC design, site execution, infrastructure planning, and strong emphasis on project scheduling, vendor coordination, safety compliance. Additional keywords: AutoCAD structural analysis.",Civil Engineering
"Built and improved backend service by applying Flask, REST APIs, Python, SQL and CI/CD, code review, agile delivery. Additional keywords: Django Java.",Software Engineering
"Hands-on experience with accounting, Excel, forecasting, financial modeling in budget dashboard, including technical writing, cash flow planning, KPI tracking. Additional keywords: financial modeling taxation.",Finance
"Built and improved prototype assembly by applying MATLAB, manufacturing, GD&T, FMEA and process optimization, quality inspection, tolerance stack-up. Additional keywords: manufacturing FMEA.",Mechanical Engineering
"Worked on structural estimation using AutoCAD, Revit, structural analysis, construction management and delivered results through presentation skills, safety compliance, quality control. Additional keywords: Revit surveying.",Civil Engineering
"Git, SQL, Docker, JavaScript focused on microservices platform with experience in documentation, CI/CD, agile delivery. Additional keywords: REST APIs Git.",Software Engineering
"Built and improved structural estimation by applying RCC design, structural analysis, site execution, STAAD Pro and problem solving, quality control, safety compliance. Additional keywords: construction management surveying.",Civil Engineering
"Hands-on experience with AutoCAD, structural analysis, construction management, Revit in building project, including project scheduling, quality control, BOQ preparation. Additional keywords: surveying structural analysis.",Civil Engineering
"Worked on customer funnel using social media, campaign planning, content strategy, brand management and delivered results through conversion optimization, technical writing, market research. Additional keywords: social media campaign planning.",Marketing
"Built and improved prediction pipeline by applying scikit-learn, Python, NumPy, data visualization and A/B testing, feature engineering, business analysis. Additional keywords: NumPy Pandas.",Data Science
"content strategy, lead generation, SEO, social media focused on growth strategy with experience in market research, conversion optimization, process improvement. Additional keywords: Google Analytics lead generation.",Marketing
"Worked on site supervision using construction management, surveying, Revit, site execution and delivered results through BOQ preparation, quality control, vendor coordination. Additional keywords: STAAD Pro construction management.",Civil Engineering
"Hands-on experience with FMEA, mechanical design, GD&T, SolidWorks in prototype assembly, including technical drawing, quality inspection, stakeholder communication. Additional keywords: AutoCAD mechanical design.",Mechanical Engineering
"Professional background includes manufacturing, SolidWorks, MATLAB, mechanical design, thermal system, and strong emphasis on stakeholder communication, process optimization, finite element analysis. Additional keywords: AutoCAD FMEA.",Mechanical Engineering
"Built and improved investment analysis by applying accounting, forecasting, Excel, valuation and documentation, process improvement, cash flow planning. Additional keywords: forecasting Excel.",Finance
"Hands-on experience with AutoCAD, site execution, construction management, STAAD Pro in infrastructure planning, including documentation, vendor coordination, BOQ preparation. Additional keywords: structural analysis surveying.",Civil Engineering
"construction management, RCC design, AutoCAD, structural analysis focused on bridge design with experience in safety compliance, quality control, BOQ preparation. Additional keywords: STAAD Pro site execution.",Civil Engineering
"Worked on vision system using PyTorch, TensorFlow, computer vision, NLP and delivered results through process improvement, data preprocessing, hyperparameter optimization. Additional keywords: Python TensorFlow.",AI/ML
"PyTorch, TensorFlow, model tuning, computer vision focused on neural network with experience in training pipeline, data preprocessing, documentation. Additional keywords: machine learning TensorFlow.",AI/ML
"Worked on prototype assembly using mechanical design, AutoCAD, CAD, manufacturing and delivered results through presentation skills, tolerance stack-up, finite element analysis. Additional keywords: FMEA manufacturing.",Mechanical Engineering
"medical imaging, healthcare analytics, bioinformatics, biostatistics focused on patient data analysis with experience in regulatory documentation, presentation skills, equipment testing. Additional keywords: MATLAB clinical research.",Biomedical
"Built and improved budget dashboard by applying budgeting, taxation, forecasting, valuation and variance analysis, cash flow planning, problem solving. Additional keywords: valuation Excel.",Finance
"Professional background includes risk analysis, taxation, accounting, valuation, budget dashboard, and strong emphasis on variance analysis, stakeholder communication, KPI tracking. Additional keywords: accounting valuation.",Finance
"Worked on classification model using data visualization, NumPy, Pandas, SQL and delivered results through business analysis, exploratory analysis, A/B testing. Additional keywords: NumPy Python.",Data Science
"NLP, machine learning, TensorFlow, Python focused on classification model with experience in MLOps, hyperparameter optimization, presentation skills. Additional keywords: machine learning Python.",AI/ML
"Hands-on experience with machine learning, Python, model tuning, PyTorch in vision system, including business analysis, documentation, hyperparameter optimization. Additional keywords: machine learning computer vision.",AI/ML
"Hands-on experience with NLP, computer vision, PyTorch, model tuning in recommendation engine, including training pipeline, process improvement, feature selection. Additional keywords: machine learning TensorFlow.",AI/ML
"Hands-on experience with computer vision, machine learning, TensorFlow, NLP in vision system, including technical writing, data preprocessing, hyperparameter optimization. Additional keywords: model tuning Python.",AI/ML
"Built and improved site supervision by applying AutoCAD, site execution, RCC design, STAAD Pro and problem solving, quality control, project scheduling. Additional keywords: structural analysis Revit.",Civil Engineering
"Professional background includes FMEA, AutoCAD, manufacturing, mechanical design, product design, and strong emphasis on problem solving, tolerance stack-up, quality inspection. Additional keywords: mechanical design manufacturing.",Mechanical Engineering
"Professional background includes healthcare analytics, PCR, clinical research, MATLAB, device validation, and strong emphasis on regulatory documentation, data interpretation, equipment testing. Additional keywords: clinical research healthcare analytics.",Biomedical
"Professional background includes SEO, campaign planning, Google Analytics, brand management, customer funnel, and strong emphasis on audience segmentation, conversion optimization, performance reporting. Additional keywords: social media Google Analytics.",Marketing
"Built and improved bridge design by applying AutoCAD, STAAD Pro, RCC design, structural analysis and quality control, project scheduling, vendor coordination. Additional keywords: STAAD Pro AutoCAD.",Civil Engineering
"Built and improved vision system by applying model tuning, machine learning, Python, computer vision and feature selection, training pipeline, documentation. Additional keywords: machine learning deep learning.",AI/ML
"Hands-on experience with PyTorch, Python, deep learning, computer vision in recommendation engine, including problem solving, stakeholder communication, MLOps. Additional keywords: Python PyTorch.",AI/ML
"statistics, model evaluation, SQL, scikit-learn focused on forecasting system with experience in A/B testing, exploratory analysis, data wrangling. Additional keywords: NumPy model evaluation.",Data Science
"Hands-on experience with Revit, site execution, AutoCAD, surveying in building project, including project scheduling, safety compliance, BOQ preparation. Additional keywords: RCC design structural analysis.",Civil Engineering
"Worked on manufacturing line using CAD, AutoCAD, GD&T, mechanical design and delivered results through tolerance stack-up, technical writing, quality inspection. Additional keywords: AutoCAD MATLAB.",Mechanical Engineering
"Built and improved neural network by applying Python, deep learning, TensorFlow, NLP and documentation, feature selection, training pipeline. Additional keywords: model tuning deep learning.",AI/ML
"Worked on microservices platform using REST APIs, Docker, SQL, Python and delivered results through process improvement, business analysis, code review. Additional keywords: JavaScript SQL.",Software Engineering
"structural analysis, STAAD Pro, Revit, RCC design focused on structural estimation with experience in safety compliance, vendor coordination, quality control. Additional keywords: STAAD Pro RCC design.",Civil Engineering
"Professional background includes biostatistics, signal processing, healthcare analytics, MATLAB, imaging workflow, and strong emphasis on data interpretation, research methodology, equipment testing. Additional keywords: clinical research biostatistics.",Biomedical
"surveying, RCC design, AutoCAD, structural analysis focused on infrastructure planning with experience in technical writing, cross-functional collaboration, quality control. Additional keywords: surveying RCC design.",Civil Engineering
"Hands-on experience with TensorFlow, computer vision, deep learning, PyTorch in recommendation engine, including problem solving, hyperparameter optimization, MLOps. Additional keywords: PyTorch Python.",AI/ML
"Hands-on experience with deep learning, TensorFlow, NLP, machine learning in recommendation engine, including MLOps, problem solving, feature selection. Additional keywords: Python machine learning.",AI/ML
"Built and improved classification model by applying NLP, computer vision, deep learning, PyTorch and data preprocessing, problem solving, feature selection. Additional keywords: deep learning computer vision.",AI/ML
"Hands-on experience with Docker, SQL, React, Git in microservices platform, including code review, agile delivery, cross-functional collaboration. Additional keywords: Git JavaScript.",Software Engineering
"Professional background includes taxation, accounting, forecasting, risk analysis, budget dashboard, and strong emphasis on cost optimization, cash flow planning, documentation. Additional keywords: risk analysis budgeting.",Finance
"Worked on patient data analysis using signal processing, clinical research, biostatistics, healthcare analytics and delivered results through data interpretation, research methodology, presentation skills. Additional keywords: medical imaging biostatistics.",Biomedical
"Built and improved classification model by applying TensorFlow, machine learning, deep learning, computer vision and feature selection, cross-functional collaboration, MLOps. Additional keywords: machine learning PyTorch.",AI/ML
"Worked on prototype assembly using FMEA, MATLAB, SolidWorks, manufacturing and delivered results through finite element analysis, technical drawing, process optimization. Additional keywords: CAD FMEA.",Mechanical Engineering
"Professional background includes AutoCAD, RCC design, surveying, structural analysis, site supervision, and strong emphasis on safety compliance, project scheduling, vendor coordination. Additional keywords: Revit surveying.",Civil Engineering
"Hands-on experience with surveying, construction management, RCC design, STAAD Pro in bridge design, including safety compliance, project scheduling, vendor coordination. Additional keywords: Revit structural analysis.",Civil Engineering
"Professional background includes accounting, forecasting, financial modeling, risk analysis, portfolio model, and strong emphasis on variance analysis, compliance review, cost optimization. Additional keywords: Excel taxation.",Finance
"budgeting, taxation, forecasting, financial modeling focused on portfolio model with experience in cost optimization, KPI tracking, variance analysis. Additional keywords: risk analysis forecasting.",Finance
"Worked on diagnostic system using MATLAB, medical imaging, signal processing, clinical research and delivered results through business analysis, equipment testing, research methodology. Additional keywords: MATLAB medical imaging.",Biomedical
"Worked on LLM assistant using Python, computer vision, PyTorch, TensorFlow and delivered results through feature selection, training pipeline, cross-functional collaboration. Additional keywords: model tuning TensorFlow.",AI/ML
"Worked on device validation using signal processing, MATLAB, clinical research, medical imaging and delivered results through lab protocol, technical writing, equipment testing. Additional keywords: medical imaging clinical research.",Biomedical
"Hands-on experience with computer vision, model tuning, Python, deep learning in neural network, including feature selection, problem solving, training pipeline. Additional keywords: PyTorch computer vision.",AI/ML
"Hands-on experience with lead generation, content strategy, Google Analytics, campaign planning in digital campaign, including performance reporting, market research, documentation. Additional keywords: lead generation brand management.",Marketing
"Worked on thermal system using GD&T, FMEA, AutoCAD, CAD and delivered results through technical drawing, technical writing, process optimization. Additional keywords: MATLAB mechanical design.",Mechanical Engineering
"Professional background includes lead generation, SEO, social media, campaign planning, growth strategy, and strong emphasis on market research, business analysis, A/B testing. Additional keywords: SEO brand management.",Marketing
"content strategy, Google Analytics, lead generation, brand management focused on customer funnel with experience in performance reporting, conversion optimization, market research. Additional keywords: campaign planning lead generation.",Marketing
"Professional background includes CAD, mechanical design, SolidWorks, MATLAB, machine component, and strong emphasis on tolerance stack-up, technical writing, process optimization. Additional keywords: manufacturing FMEA.",Mechanical Engineering
"Professional background includes Java, React, Django, Python, API layer, and strong emphasis on code review, documentation, CI/CD. Additional keywords: SQL Docker.",Software Engineering
"Worked on machine component using SolidWorks, manufacturing, AutoCAD, FMEA and delivered results through process optimization, technical drawing, problem solving. Additional keywords: CAD AutoCAD.",Mechanical Engineering
"Worked on growth strategy using social media, campaign planning, Google Analytics, brand management and delivered results through market research, process improvement, A/B testing. Additional keywords: SEO social media.",Marketing
"Pandas, scikit-learn, NumPy, model evaluation focused on analytics dashboard with experience in data wrangling, feature engineering, dashboard reporting. Additional keywords: data visualization statistics.",Data Science
"Built and improved thermal system by applying AutoCAD, FMEA, mechanical design, CAD and technical drawing, quality inspection, process optimization. Additional keywords: GD&T MATLAB.",Mechanical Engineering
"Built and improved full-stack portal by applying Python, Git, Docker, REST APIs and CI/CD, code review, cross-functional collaboration. Additional keywords: Git SQL.",Software Engineering
"Hands-on experience with taxation, risk analysis, budgeting, valuation in audit process, including cross-functional collaboration, cost optimization, cash flow planning. Additional keywords: Excel forecasting.",Finance
"FMEA, mechanical design, AutoCAD, GD&T focused on thermal system with experience in technical drawing, quality inspection, stakeholder communication. Additional keywords: MATLAB SolidWorks.",Mechanical Engineering
"Professional background includes MATLAB, CAD, AutoCAD, mechanical design, thermal system, and strong emphasis on technical drawing, documentation, finite element analysis. Additional keywords: mechanical design FMEA.",Mechanical Engineering
"content strategy, lead generation, CRM, campaign planning focused on brand launch with experience in A/B testing, conversion optimization, audience segmentation. Additional keywords: content strategy Google Analytics.",Marketing
"Professional background includes Flask, Django, Git, SQL, microservices platform, and strong emphasis on unit testing, problem solving, CI/CD. Additional keywords: JavaScript Flask.",Software Engineering
"Professional background includes MATLAB, SolidWorks, FMEA, mechanical design, manufacturing line, and strong emphasis on business analysis, problem solving, process optimization. Additional keywords: mechanical design FMEA.",Mechanical Engineering
"Worked on bridge design using structural analysis, AutoCAD, Revit, RCC design and delivered results through quality control, process improvement, BOQ preparation. Additional keywords: site execution structural analysis.",Civil Engineering
"Flask, React, JavaScript, SQL focused on full-stack portal with experience in unit testing, agile delivery, CI/CD. Additional keywords: JavaScript SQL.",Software Engineering
"Built and improved thermal system by applying manufacturing, FMEA, GD&T, MATLAB and process improvement, tolerance stack-up, problem solving. Additional keywords: manufacturing SolidWorks.",Mechanical Engineering
"Professional background includes financial modeling, risk analysis, Excel, budgeting, budget dashboard, and strong emphasis on KPI tracking, technical writing, cash flow planning. Additional keywords: taxation valuation.",Finance
"TensorFlow, model tuning, computer vision, deep learning focused on vision system with experience in training pipeline, data preprocessing, process improvement. Additional keywords: machine learning PyTorch.",AI/ML
"Hands-on experience with medical imaging, signal processing, healthcare analytics, MATLAB in clinical study, including lab protocol, research methodology, equipment testing. Additional keywords: MATLAB signal processing.",Biomedical
